podcast,description,together
FriendsLikeUs,A podcast featuring women of color with different views on topics hosted by Marina Franklin.,"""FriendsLikeUs"" --A podcast featuring women of color with different views on topics hosted by Marina Franklin."
Black Girl In Om,"This podcast is a warm embrace, soothing realness, and conscious girl talk. Black Girl In Om exists to hold and heal black womxn and womxn of color around the world on their unique wellness journeys, mending us from the inside out. Come into conversation with our founder, Lauren Ash and wellness and Spirit-centered guests across various industries to talk all things self-care and self-love, spiritual awakening, intergenerational healing, and more.","""Black Girl In Om"" --This podcast is a warm embrace, soothing realness, and conscious girl talk. Black Girl In Om exists to hold and heal black womxn and womxn of color around the world on their unique wellness journeys, mending us from the inside out. Come into conversation with our founder, Lauren Ash and wellness and Spirit-centered guests across various industries to talk all things self-care and self-love, spiritual awakening, intergenerational healing, and more."
Latina to Latina,"In this interview series, host Alicia Menendez talks to remarkable Latinas about making it, faking it, and everything in between. In often-hilarious and always-revealing episodes, Alicia and her guests take on the challenges of existing, and then thriving, as women of color.","""Latina to Latina"" --In this interview series, host Alicia Menendez talks to remarkable Latinas about making it, faking it, and everything in between. In often-hilarious and always-revealing episodes, Alicia and her guests take on the challenges of existing, and then thriving, as women of color."
Black & Yellow,"Forward-thinking feminists Alana J. Webster and Jacklyn Chung-Young don’t hold back when discussing societal issues facing women and people of color in the new weekly podcast, Black & Yellow. Armed with research and wit, the ladies delve into the complexities of being a Black or Asian woman in today’s world. From CP Time to sexual harassment, Jacklyn and Alana offer their intersectional perspective on what’s happening in our society today and ways to stay as woke as possible. See acast.com/p ...","""Black & Yellow"" --Forward-thinking feminists Alana J. Webster and Jacklyn Chung-Young don’t hold back when discussing societal issues facing women and people of color in the new weekly podcast, Black & Yellow. Armed with research and wit, the ladies delve into the complexities of being a Black or Asian woman in today’s world. From CP Time to sexual harassment, Jacklyn and Alana offer their intersectional perspective on what’s happening in our society today and ways to stay as woke as possible. See acast.com/p ..."
Brown Girl Self-Care,"Join Bre, aka The Self-Care Pusher from Southern California, as she shares life experiences, weighs in on current events, amps up her wellness/health habits and finds clean(ish) products to try all for the sake of taking her physical, spiritual and emotional well-being to the next level and (hopefully) inspiring other women of color to do so as well. It's time to become obsessed with our self-care!","""Brown Girl Self-Care"" --Join Bre, aka The Self-Care Pusher from Southern California, as she shares life experiences, weighs in on current events, amps up her wellness/health habits and finds clean(ish) products to try all for the sake of taking her physical, spiritual and emotional well-being to the next level and (hopefully) inspiring other women of color to do so as well. It's time to become obsessed with our self-care!"
Greater Than Code,"For a long time, tech culture has focused too narrowly on technical skills; this has resulted in a tech community that too often puts companies and code over people. Greater Than Code is a podcast that invites the voices of people who are not heard from enough in tech: women, people of color, trans and/or queer folks, to talk about the human side of software development and technology. Greater Than Code is providing a vital platform for these conversations, and developing new ideas of what i ...","""Greater Than Code"" --For a long time, tech culture has focused too narrowly on technical skills; this has resulted in a tech community that too often puts companies and code over people. Greater Than Code is a podcast that invites the voices of people who are not heard from enough in tech: women, people of color, trans and/or queer folks, to talk about the human side of software development and technology. Greater Than Code is providing a vital platform for these conversations, and developing new ideas of what i ..."
The Protagonistas,"The Protagonistas is a podcast centered on building bridges among communities of faith through the stories and experiences of women of color. Kat Armas speaks candidly with her guests about the intersection of race, gender, and spirituality.","""The Protagonistas"" --The Protagonistas is a podcast centered on building bridges among communities of faith through the stories and experiences of women of color. Kat Armas speaks candidly with her guests about the intersection of race, gender, and spirituality."
QueerWOC,"Welcome to ""QueerWOC: The Podcast"". Join Money and Nikeeta, two Black Queer Troublemakers, on this biweekly insurgent audio syllabus that unites, ignites, and excites the queer women of color community. QueerWOC is a space for queer women and folks of color rooted in reimagining healing, organizing, and community. Join the conversation by sliding in the QueerWOC.com DM's! Follow @QueerWOCpod on IG and on Tumblr | @QueerWOCpod on Twitter Follow the creator: @BettaThanMoney Follow the curmudge ...","""QueerWOC"" --Welcome to ""QueerWOC: The Podcast"". Join Money and Nikeeta, two Black Queer Troublemakers, on this biweekly insurgent audio syllabus that unites, ignites, and excites the queer women of color community. QueerWOC is a space for queer women and folks of color rooted in reimagining healing, organizing, and community. Join the conversation by sliding in the QueerWOC.com DM's! Follow @QueerWOCpod on IG and on Tumblr | @QueerWOCpod on Twitter Follow the creator: @BettaThanMoney Follow the curmudge ..."
PhDivas,"Podcast about academia, culture, and social justice across the STEM/humanities divide. Dr. Liz Wayne and Dr. Christine ""Xine"" Yao are two women of color Ivy League PhDs navigating higher education. Biomedical engineer meets literary critic. Both fans of lipstick.","""PhDivas"" --Podcast about academia, culture, and social justice across the STEM/humanities divide. Dr. Liz Wayne and Dr. Christine ""Xine"" Yao are two women of color Ivy League PhDs navigating higher education. Biomedical engineer meets literary critic. Both fans of lipstick."
The Well Woman Show,"Interviews with women leaders, executives and entrepreneurs who want to be happy, healthy and fulfilled. Whether it’s physical or sexual health, juggling life and work, professional development or financial success, emotional or spiritual wellness, a Well Woman is passionate about achieving her highest level of well being. Calling on the wisdom and lessons of Byron Katie, Oprah Winfrey, Brene Brown and Marie Forleo, each episode is packed with tips and best practices for women who are doing  ...","""The Well Woman Show"" --Interviews with women leaders, executives and entrepreneurs who want to be happy, healthy and fulfilled. Whether it’s physical or sexual health, juggling life and work, professional development or financial success, emotional or spiritual wellness, a Well Woman is passionate about achieving her highest level of well being. Calling on the wisdom and lessons of Byron Katie, Oprah Winfrey, Brene Brown and Marie Forleo, each episode is packed with tips and best practices for women who are doing  ..."
